,Fruite,Sucre,Gout,Amer,Piquant,Rugosite,Odeur,Acide,Parfume,Suffocant
Boisson 1,2.29,2.86,2.86,3.29,3.29,3.0,3.14,4.29,2.29,0.54
Boisson 2,1.14,1.79,3.86,3.57,3.57,3.0,3.43,3.71,1.43,0.93
Boisson 3,2.71,4.14,1.86,3.57,3.14,2.43,3.71,3.57,3.29,0.64
Boisson 4,4.14,4.71,2.0,3.07,2.29,2.57,4.0,3.14,4.14,0.0
Boisson 5,1.29,2.29,3.86,4.14,2.86,3.17,4.43,3.86,2.14,1.5
Boisson 6,0.0,1.86,4.29,4.79,2.71,3.57,4.14,3.86,1.14,0.64
Boisson 7,3.86,4.71,1.57,2.57,2.0,2.71,3.43,4.21,3.57,0.5
Boisson 8,0.0,0.0,2.86,3.86,2.71,3.0,4.14,3.86,1.14,0.93
Boisson 9,4.07,4.14,2.29,4.0,1.43,3.0,4.07,3.57,3.57,0.5
Boisson 10,3.71,3.86,2.43,4.07,1.43,2.79,6.1,3.86,1.57,2.21
