,Fruite,Sucre,Gout,Amer,Piquant,Rugosite,Odeur,Acide,Parfume,Suffocant
Boisson 1,-0.031,-0.176,0.072,-0.403,0.747,0.076,-0.919,0.497,-0.138,-0.299
Boisson 2,-1.181,-1.246,1.072,-0.123,1.027,0.076,-0.629,-0.083,-0.998,0.091
Boisson 3,0.389,1.104,-0.928,-0.123,0.597,-0.494,-0.349,-0.223,0.862,-0.199
Boisson 4,1.819,1.674,-0.788,-0.623,-0.253,-0.354,-0.059,-0.653,1.712,-0.839
Boisson 5,-1.031,-0.746,1.072,0.447,0.317,0.246,0.371,0.067,-0.288,0.661
Boisson 6,-2.321,-1.176,1.502,1.097,0.167,0.646,0.081,0.067,-1.288,-0.199
Boisson 7,1.539,1.674,-1.218,-1.123,-0.543,-0.214,-0.629,0.417,1.142,-0.339
Boisson 8,-2.321,-3.036,0.072,0.167,0.167,0.076,0.081,0.067,-1.288,0.091
Boisson 9,1.749,1.104,-0.498,0.307,-1.113,0.076,0.011,-0.223,1.142,-0.339
Boisson 10,1.389,0.824,-0.358,0.377,-1.113,-0.134,2.041,0.067,-0.858,1.371
