,Fruite,Sucre,Gout,Amer,Piquant,Rugosite,Odeur,Acide,Parfume,Suffocant
Boisson 1,-0.019,-0.114,0.0768,-0.6454,1.0061,0.2359,-1.1183,1.5126,-0.1224,-0.4839
Boisson 2,-0.7225,-0.8069,1.1437,-0.197,1.3832,0.2359,-0.7654,-0.2526,-0.8854,0.1473
Boisson 3,0.238,0.7149,-0.9901,-0.197,0.804,-1.5334,-0.4247,-0.6787,0.7648,-0.3221
Boisson 4,1.1128,1.084,-0.8407,-0.9977,-0.3407,-1.0989,-0.0718,-1.9874,1.5189,-1.358
Boisson 5,-0.6307,-0.4831,1.1437,0.7158,0.4269,0.7636,0.4515,0.2039,-0.2555,1.0699
Boisson 6,-1.4198,-0.7616,1.6025,1.7568,0.2249,2.0053,0.0986,0.2039,-1.1427,-0.3221
Boisson 7,0.9415,1.084,-1.2995,-1.7984,-0.7313,-0.6643,-0.7654,1.2691,1.0132,-0.5487
Boisson 8,-1.4198,-1.966,0.0768,0.2674,0.2249,0.2359,0.0986,0.2039,-1.1427,0.1473
Boisson 9,1.0699,0.7149,-0.5313,0.4916,-1.499,0.2359,0.0134,-0.6787,1.0132,-0.5487
Boisson 10,0.8497,0.5336,-0.382,0.6037,-1.499,-0.416,2.4837,0.2039,-0.7612,2.219
