,Fruite,Sucre,Gout,Amer,Piquant,Rugosite,Odeur,Acide,Parfume,Suffocant
Fruite,1.0,0.9309,-0.8023,-0.5536,-0.6311,-0.6836,0.137,-0.2539,0.8124,-0.1477
Sucre,0.9309,1.0,-0.7186,-0.4972,-0.501,-0.6264,0.0424,-0.2515,0.842,-0.2367
Gout,-0.8023,-0.7186,1.0,0.6954,0.4817,0.8591,0.0267,0.1533,-0.7591,0.2742
Amer,-0.5536,-0.4972,0.6954,1.0,-0.034,0.7102,0.4926,-0.0827,-0.6324,0.4442
Piquant,-0.6311,-0.501,0.4817,-0.034,1.0,0.1434,-0.6052,0.1407,-0.3325,-0.1961
Rugosite,-0.6836,-0.6264,0.8591,0.7102,0.1434,1.0,0.0367,0.3385,-0.6614,0.1583
Odeur,0.137,0.0424,0.0267,0.4926,-0.6052,0.0367,1.0,-0.1566,-0.2903,0.7836
Acide,-0.2539,-0.2515,0.1533,-0.0827,0.1407,0.3385,-0.1566,1.0,-0.3971,0.2733
Parfume,0.8124,0.842,-0.7591,-0.6324,-0.3325,-0.6614,-0.2903,-0.3971,1.0,-0.5838
Suffocant,-0.1477,-0.2367,0.2742,0.4442,-0.1961,0.1583,0.7836,0.2733,-0.5838,1.0
