,Axe 1,Axe 2,Axe 3,Axe 4,Axe 5,Axe 6,Axe 7,Axe 8,Axe 9,Axe 10
Boisson 1,-0.2694,1.7251,1.3454,-0.4357,0.3457,0.1332,-0.1246,0.1358,0.2679,0.0
Boisson 2,-1.6773,1.3355,-0.1522,0.8385,0.4583,-0.5436,-0.0806,0.2896,-0.1578,-0.0
Boisson 3,1.7606,0.6852,-0.3359,1.1889,0.2759,0.8577,0.013,-0.0074,-0.0819,-0.0
Boisson 4,3.2043,0.3872,-1.6464,0.3526,-0.0767,-0.4532,-0.1697,-0.1922,0.1264,0.0
Boisson 5,-1.8755,-0.5422,-0.0328,0.0928,0.6944,-0.1294,0.5356,-0.2511,0.046,0.0
Boisson 6,-3.3383,0.0846,-0.9895,-1.1932,0.0808,0.258,-0.3461,-0.173,-0.0727,-0.0
Boisson 7,2.6959,0.6877,1.7159,-0.8059,-0.2159,-0.1801,0.0086,-0.19,-0.1866,-0.0
Boisson 8,-2.1398,0.3438,0.2171,0.7197,-1.4714,0.0024,0.1208,-0.0212,0.0417,0.0
Boisson 9,1.5965,-0.8961,-0.9957,-1.2861,-0.2372,0.1114,0.2798,0.3552,-0.0117,0.0
Boisson 10,0.043,-3.8107,0.8742,0.5285,0.146,-0.0564,-0.2368,0.0543,0.0288,-0.0
