,Axe 1,Axe 2,Axe 3,Axe 4,Axe 5,Axe 6,Axe 7,Axe 8,Axe 9,Axe 10
Fruite,0.9134,-0.3027,0.0603,-0.1256,0.1579,-0.0839,-0.0157,0.1342,0.0669,-0.0
Sucre,0.8843,-0.1988,-0.0102,-0.184,0.35,0.0739,-0.1049,-0.0481,-0.0567,0.0
Gout,-0.9113,0.0887,-0.2064,-0.0973,0.2806,-0.1749,0.011,-0.0095,-0.0066,-0.0
Amer,-0.7357,-0.432,-0.4015,-0.1479,0.0586,0.2861,0.0213,0.0572,0.0097,-0.0
Piquant,-0.4323,0.7474,0.018,0.4062,0.2815,0.0789,-0.0262,-0.0153,0.0543,0.0
Rugosite,-0.8291,-0.0,-0.1128,-0.5375,0.0416,-0.0922,0.0087,-0.0176,0.0173,0.0
Odeur,-0.1344,-0.9666,-0.0387,0.1544,-0.0276,-0.0278,-0.0701,-0.1079,0.0648,-0.0
Acide,-0.3318,0.1233,0.8732,-0.3156,0.0274,0.1043,-0.0015,-0.0226,0.0242,-0.0
Parfume,0.9303,0.1475,-0.1895,-0.1577,0.091,0.0401,0.1848,-0.0837,0.0305,-0.0
Suffocant,-0.423,-0.7376,0.3652,0.301,0.1844,-0.0323,0.1255,0.0285,-0.0384,0.0
